Image,Class,Confidence,BBox (xyxy),Status
dataset\train\images\Cannabis_2_jpg.rf.b01de62abfd92ea7608f112bdb0b059f.jpg,Cannabis,0.75,"[185.78268432617188, 147.64404296875, 249.53237915039062, 266.27301025390625]",
dataset\train\images\Cannabis_2_jpg.rf.b01de62abfd92ea7608f112bdb0b059f.jpg,Cannabis,0.74,"[105.90217590332031, 350.9652404785156, 191.4958953857422, 436.47686767578125]",
dataset\train\images\Cannabis_2_jpg.rf.b01de62abfd92ea7608f112bdb0b059f.jpg,Cannabis,0.44,"[185.34022521972656, 190.57608032226562, 242.47119140625, 277.9297790527344]",
dataset\train\images\Cannabis_2_jpg.rf.b01de62abfd92ea7608f112bdb0b059f.jpg,Cannabis,0.41,"[115.75666809082031, 206.73983764648438, 190.31381225585938, 280.4400329589844]",
dataset\train\images\Cannabis_2_jpg.rf.b01de62abfd92ea7608f112bdb0b059f.jpg,Cannabis,0.38,"[110.27034759521484, 204.9503936767578, 187.78053283691406, 307.6792907714844]",
dataset\train\images\Cannabis_2_jpg.rf.b01de62abfd92ea7608f112bdb0b059f.jpg,Cannabis,0.37,"[128.64303588867188, 137.9661102294922, 199.5392608642578, 272.08929443359375]",
dataset\train\images\Cannabis_2_jpg.rf.b01de62abfd92ea7608f112bdb0b059f.jpg,Cannabis,0.34,"[107.43705749511719, 343.8627014160156, 222.4454803466797, 436.9188537597656]",
dataset\train\images\Cannabis_2_jpg.rf.f282983f295533b443622cfc8128845d.jpg,Cannabis,0.93,"[122.75224304199219, 215.3621063232422, 208.327392578125, 284.04119873046875]",
dataset\train\images\Cannabis_2_jpg.rf.f282983f295533b443622cfc8128845d.jpg,Cannabis,0.92,"[305.51861572265625, 243.2974090576172, 415.13372802734375, 317.61822509765625]",
dataset\train\images\Cannabis_2_jpg.rf.f282983f295533b443622cfc8128845d.jpg,Cannabis,0.91,"[219.2809600830078, 275.569091796875, 294.32830810546875, 346.440673828125]",
dataset\train\images\Cannabis_2_jpg.rf.f282983f295533b443622cfc8128845d.jpg,Cannabis,0.90,"[248.39804077148438, 235.0758819580078, 334.36669921875, 308.38330078125]",
dataset\train\images\Cannabis_2_jpg.rf.f282983f295533b443622cfc8128845d.jpg,Cannabis,0.89,"[261.1552734375, 285.3515319824219, 348.70269775390625, 373.8944091796875]",
dataset\train\images\Cannabis_2_jpg.rf.f282983f295533b443622cfc8128845d.jpg,Cannabis,0.87,"[109.09349060058594, 302.926513671875, 194.75985717773438, 383.6728515625]",
dataset\train\images\Cannabis_2_jpg.rf.f282983f295533b443622cfc8128845d.jpg,Cannabis,0.77,"[212.53793334960938, 324.08203125, 286.895751953125, 412.3832092285156]",
dataset\train\images\Cannabis_2_jpg.rf.f282983f295533b443622cfc8128845d.jpg,Cannabis,0.77,"[317.1833801269531, 288.1544494628906, 405.25555419921875, 371.2181091308594]",
dataset\train\images\Cannabis_2_jpg.rf.f282983f295533b443622cfc8128845d.jpg,Cannabis,0.76,"[180.03756713867188, 209.7609100341797, 283.37005615234375, 293.6723937988281]",
dataset\train\images\Cannabis_2_jpg.rf.f282983f295533b443622cfc8128845d.jpg,Cannabis,0.70,"[155.9937744140625, 258.6019592285156, 243.0198516845703, 337.7442321777344]",
dataset\train\images\Cannabis_2_jpg.rf.f282983f295533b443622cfc8128845d.jpg,Cannabis,0.57,"[273.1549377441406, 333.26953125, 400.32568359375, 415.40887451171875]",
dataset\train\images\Cannabis_2_jpg.rf.f282983f295533b443622cfc8128845d.jpg,Cannabis,0.53,"[160.90878295898438, 311.34246826171875, 242.40518188476562, 402.96392822265625]",
dataset\train\images\Cannabis_2_jpg.rf.f282983f295533b443622cfc8128845d.jpg,Cannabis,0.51,"[108.77372741699219, 257.05279541015625, 226.43203735351562, 338.6101989746094]",
dataset\train\images\heroin_10_jpg.rf.2d8ea6835c984a6c28677c5ea494ee29.jpg,,,,No objects detected
dataset\train\images\heroin_11_jpg.rf.09c801e94d8e1befee90e85137798c07.jpg,Heroin,0.78,"[22.048192977905273, 0.0, 283.6314392089844, 277.20159912109375]",
dataset\train\images\heroin_11_jpg.rf.09c801e94d8e1befee90e85137798c07.jpg,Heroin,0.76,"[269.853271484375, 0.0, 512.0, 250.495361328125]",
dataset\train\images\heroin_11_jpg.rf.09c801e94d8e1befee90e85137798c07.jpg,Heroin,0.74,"[251.8349609375, 238.10507202148438, 511.8134765625, 500.3915100097656]",
dataset\train\images\heroin_11_jpg.rf.09c801e94d8e1befee90e85137798c07.jpg,Heroin,0.71,"[5.373632907867432, 230.5935516357422, 277.96209716796875, 503.3560485839844]",
dataset\train\images\heroin_11_jpg.rf.3e1a1dd2bb0d4e549e65c930aef4f55f.jpg,Heroin,0.90,"[22.19287109375, 234.1588897705078, 332.60235595703125, 506.7032775878906]",
dataset\train\images\heroin_11_jpg.rf.3e1a1dd2bb0d4e549e65c930aef4f55f.jpg,Heroin,0.89,"[271.99859619140625, 177.31358337402344, 510.3558044433594, 489.1348571777344]",
dataset\train\images\heroin_11_jpg.rf.3e1a1dd2bb0d4e549e65c930aef4f55f.jpg,Heroin,0.81,"[4.00048828125, 0.9946533441543579, 209.3184051513672, 310.0376281738281]",
dataset\train\images\heroin_11_jpg.rf.3e1a1dd2bb0d4e549e65c930aef4f55f.jpg,Heroin,0.66,"[190.5458984375, 0.0, 506.1958923339844, 265.82818603515625]",
dataset\train\images\heroin_11_jpg.rf.4b3c4c4a24ef9274c76dd1821c47a900.jpg,Heroin,0.89,"[226.5176239013672, 175.9705047607422, 508.62847900390625, 505.8427734375]",
dataset\train\images\heroin_11_jpg.rf.4b3c4c4a24ef9274c76dd1821c47a900.jpg,Heroin,0.87,"[1.966796875, 230.78402709960938, 251.35360717773438, 507.4352111816406]",
dataset\train\images\heroin_11_jpg.rf.4b3c4c4a24ef9274c76dd1821c47a900.jpg,Heroin,0.80,"[215.44180297851562, 0.0, 494.9532165527344, 246.1252899169922]",
dataset\train\images\heroin_11_jpg.rf.4b3c4c4a24ef9274c76dd1821c47a900.jpg,Heroin,0.71,"[1.638403296470642, 0.513476550579071, 254.17514038085938, 284.2003173828125]",
dataset\train\images\heroin_11_jpg.rf.614a627abcfadbc2720544d3ed415330.jpg,Heroin,0.82,"[207.4892120361328, 11.095800399780273, 494.7735900878906, 261.602294921875]",
dataset\train\images\heroin_11_jpg.rf.614a627abcfadbc2720544d3ed415330.jpg,Heroin,0.76,"[21.540624618530273, 222.5026397705078, 350.8042907714844, 512.0]",
dataset\train\images\heroin_11_jpg.rf.614a627abcfadbc2720544d3ed415330.jpg,Heroin,0.75,"[2.772631883621216, 12.057958602905273, 245.80709838867188, 304.1326599121094]",
dataset\train\images\heroin_11_jpg.rf.614a627abcfadbc2720544d3ed415330.jpg,Heroin,0.72,"[306.03594970703125, 181.9238739013672, 511.93035888671875, 507.66082763671875]",
dataset\train\images\heroin_11_jpg.rf.614a627abcfadbc2720544d3ed415330.jpg,Heroin,0.32,"[208.94131469726562, 189.5075225830078, 511.2334899902344, 509.2771911621094]",
dataset\train\images\heroin_11_jpg.rf.6b80e769707ab9d92b1251c49f2f9daf.jpg,Heroin,0.86,"[243.1645965576172, 211.625, 504.35491943359375, 502.447265625]",
dataset\train\images\heroin_11_jpg.rf.6b80e769707ab9d92b1251c49f2f9daf.jpg,Heroin,0.82,"[177.09237670898438, 0.0, 494.75848388671875, 285.90460205078125]",
dataset\train\images\heroin_11_jpg.rf.6b80e769707ab9d92b1251c49f2f9daf.jpg,Heroin,0.71,"[3.486572265625, 265.04132080078125, 315.814208984375, 511.0379943847656]",
dataset\train\images\heroin_11_jpg.rf.6b80e769707ab9d92b1251c49f2f9daf.jpg,Heroin,0.70,"[0.8299560546875, 19.303075790405273, 178.97232055664062, 345.5022888183594]",
dataset\train\images\heroin_11_jpg.rf.6b80e769707ab9d92b1251c49f2f9daf.jpg,Heroin,0.44,"[1.784887671470642, 280.90142822265625, 223.4153289794922, 509.10406494140625]",
dataset\train\images\heroin_11_jpg.rf.70652d39bd204bef2eaae463962c1a09.jpg,Heroin,0.60,"[229.22103881835938, 266.576904296875, 439.207275390625, 511.1629333496094]",
dataset\train\images\heroin_11_jpg.rf.70652d39bd204bef2eaae463962c1a09.jpg,Heroin,0.40,"[6.396826267242432, 237.84219360351562, 222.6956787109375, 507.9815368652344]",
dataset\train\images\heroin_11_jpg.rf.70652d39bd204bef2eaae463962c1a09.jpg,Heroin,0.38,"[250.42080688476562, 0.0, 486.158935546875, 280.5552673339844]",
dataset\train\images\heroin_11_jpg.rf.70652d39bd204bef2eaae463962c1a09.jpg,Heroin,0.34,"[14.833440780639648, 0.170654296875, 204.19638061523438, 241.40463256835938]",
dataset\train\images\heroin_11_jpg.rf.80124bfbc8bb156440459076d6170376.jpg,Heroin,0.83,"[254.2218780517578, 214.9509735107422, 512.0, 511.671875]",
dataset\train\images\heroin_11_jpg.rf.80124bfbc8bb156440459076d6170376.jpg,Heroin,0.79,"[0.964855968952179, 23.4688720703125, 196.87838745117188, 325.9732360839844]",
dataset\train\images\heroin_11_jpg.rf.80124bfbc8bb156440459076d6170376.jpg,Heroin,0.68,"[162.33978271484375, 13.631030082702637, 502.6375427246094, 298.8734130859375]",
dataset\train\images\heroin_11_jpg.rf.80124bfbc8bb156440459076d6170376.jpg,Heroin,0.66,"[19.858936309814453, 257.670654296875, 340.33160400390625, 511.6028747558594]",
dataset\train\images\heroin_11_jpg.rf.80124bfbc8bb156440459076d6170376.jpg,Heroin,0.42,"[16.616308212280273, 272.46759033203125, 208.22021484375, 509.96392822265625]",
dataset\train\images\heroin_11_jpg.rf.ba113d22af69ff611b963f02f594ff0d.jpg,Heroin,0.84,"[205.01260375976562, 0.0, 500.85723876953125, 278.04498291015625]",
dataset\train\images\heroin_11_jpg.rf.ba113d22af69ff611b963f02f594ff0d.jpg,Heroin,0.84,"[270.9627380371094, 210.24893188476562, 509.0979919433594, 503.1031799316406]",
dataset\train\images\heroin_11_jpg.rf.ba113d22af69ff611b963f02f594ff0d.jpg,Heroin,0.63,"[2.4043946266174316, 4.350610256195068, 214.5375213623047, 312.09014892578125]",
dataset\train\images\heroin_11_jpg.rf.ba113d22af69ff611b963f02f594ff0d.jpg,Heroin,0.53,"[7.123632907867432, 254.51693725585938, 300.05029296875, 506.33740234375]",
dataset\train\images\heroin_11_jpg.rf.ba113d22af69ff611b963f02f594ff0d.jpg,Heroin,0.42,"[9.699414253234863, 262.87738037109375, 221.70565795898438, 505.01885986328125]",
dataset\train\images\heroin_11_jpg.rf.dfab2be58d82e66c234a59c03a164401.jpg,Heroin,0.84,"[0.3933349549770355, 12.594213485717773, 211.689208984375, 282.10992431640625]",
dataset\train\images\heroin_11_jpg.rf.dfab2be58d82e66c234a59c03a164401.jpg,Heroin,0.75,"[236.0534210205078, 248.903564453125, 509.3125, 512.0]",
dataset\train\images\heroin_11_jpg.rf.dfab2be58d82e66c234a59c03a164401.jpg,Heroin,0.75,"[5.394629001617432, 263.34002685546875, 277.97064208984375, 511.83221435546875]",
dataset\train\images\heroin_11_jpg.rf.dfab2be58d82e66c234a59c03a164401.jpg,Heroin,0.74,"[194.89096069335938, 6.6483154296875, 432.318359375, 276.9828186035156]",
dataset\train\images\heroin_11_jpg.rf.dfab2be58d82e66c234a59c03a164401.jpg,Heroin,0.26,"[1.0113036632537842, 17.152027130126953, 149.2786102294922, 283.9228515625]",
dataset\train\images\heroin_11_jpg.rf.f956a876a3d5e0db3b1c5894014491c8.jpg,Heroin,0.82,"[237.3715362548828, 0.0, 498.0585021972656, 249.7704620361328]",
dataset\train\images\heroin_11_jpg.rf.f956a876a3d5e0db3b1c5894014491c8.jpg,Heroin,0.82,"[1.925927758216858, 225.5966796875, 254.3254852294922, 506.1513671875]",
dataset\train\images\heroin_11_jpg.rf.f956a876a3d5e0db3b1c5894014491c8.jpg,Heroin,0.73,"[2.1148924827575684, 0.42011719942092896, 217.48599243164062, 230.7053680419922]",
dataset\train\images\heroin_11_jpg.rf.f956a876a3d5e0db3b1c5894014491c8.jpg,Heroin,0.72,"[225.35482788085938, 215.9443817138672, 508.3404235839844, 502.4903259277344]",
dataset\train\images\heroin_12_jpg.rf.140840c985cd187341e01da02d8f103b.jpg,Heroin,0.53,"[14.516797065734863, 129.38282775878906, 485.7076721191406, 426.5853576660156]",
dataset\train\images\heroin_12_jpg.rf.140840c985cd187341e01da02d8f103b.jpg,Heroin,0.26,"[0.0, 266.6876525878906, 478.4368591308594, 440.11871337890625]",
dataset\train\images\heroin_12_jpg.rf.1659c3f7181f372bd22f11f113a70103.jpg,Heroin,0.35,"[74.38313293457031, 320.71319580078125, 280.95233154296875, 501.04803466796875]",
dataset\train\images\heroin_12_jpg.rf.189b21de142edc996586176c1ef849e2.jpg,Heroin,0.51,"[159.07589721679688, 0.510424792766571, 338.77294921875, 225.32275390625]",
dataset\train\images\heroin_12_jpg.rf.1e5a38856c069bded43d5d3e07cc7835.jpg,Heroin,0.30,"[119.89509582519531, 0.09166870266199112, 210.0306854248047, 66.98895263671875]",
dataset\train\images\heroin_12_jpg.rf.71e9e16f6fea0174dbfa849ba7a2367b.jpg,Heroin,0.49,"[204.43319702148438, 12.431884765625, 377.8636779785156, 360.8084411621094]",
dataset\train\images\heroin_12_jpg.rf.7a9762405b4d23d8bf44b23de4b2cd1f.jpg,Heroin,0.54,"[0.0, 271.82122802734375, 496.7889709472656, 471.29351806640625]",
dataset\train\images\heroin_12_jpg.rf.7a9762405b4d23d8bf44b23de4b2cd1f.jpg,Heroin,0.54,"[0.0, 135.2881317138672, 498.1724548339844, 361.23236083984375]",
dataset\train\images\heroin_12_jpg.rf.7a9762405b4d23d8bf44b23de4b2cd1f.jpg,Heroin,0.26,"[8.3216552734375, 104.70182037353516, 398.7019348144531, 315.303466796875]",
dataset\train\images\heroin_12_jpg.rf.8d0fcb6330d098d4496345d8d3b5f642.jpg,Heroin,0.54,"[0.0, 311.2153015136719, 482.34893798828125, 509.3760681152344]",
dataset\train\images\heroin_12_jpg.rf.8d0fcb6330d098d4496345d8d3b5f642.jpg,Heroin,0.39,"[0.0, 175.78652954101562, 493.1640625, 498.2125549316406]",
dataset\train\images\heroin_12_jpg.rf.8d0fcb6330d098d4496345d8d3b5f642.jpg,Heroin,0.38,"[0.890673816204071, 173.96824645996094, 486.90301513671875, 403.02374267578125]",
dataset\train\images\heroin_12_jpg.rf.db05778f4d6cbf294acf8446b4d8c508.jpg,Heroin,0.44,"[123.9273681640625, 0.0, 358.9996337890625, 303.88482666015625]",
dataset\train\images\heroin_12_jpg.rf.db05778f4d6cbf294acf8446b4d8c508.jpg,Heroin,0.41,"[86.7559585571289, 4.055005073547363, 229.50698852539062, 358.53662109375]",
dataset\train\images\heroin_12_jpg.rf.db05778f4d6cbf294acf8446b4d8c508.jpg,Heroin,0.29,"[161.46072387695312, 0.0, 364.0212707519531, 138.4804229736328]",
dataset\train\images\heroin_12_jpg.rf.f8b0d96f871f8a72abe44ecb807dc4dd.jpg,Heroin,0.35,"[9.73974609375, 23.075292587280273, 494.99822998046875, 264.88482666015625]",
dataset\train\images\heroin_12_jpg.rf.f8b0d96f871f8a72abe44ecb807dc4dd.jpg,Ketamine,0.25,"[181.9038543701172, 327.55706787109375, 512.0, 512.0]",
dataset\train\images\heroin_12_jpg.rf.f8f7fc9f9a0dbee827f124ef8820bc5b.jpg,Heroin,0.51,"[0.0, 274.5494689941406, 477.105712890625, 483.4443359375]",
dataset\train\images\heroin_12_jpg.rf.f8f7fc9f9a0dbee827f124ef8820bc5b.jpg,Heroin,0.50,"[6.046044826507568, 164.2626953125, 486.22149658203125, 386.9989318847656]",
dataset\train\images\heroin_12_jpg.rf.f8f7fc9f9a0dbee827f124ef8820bc5b.jpg,Heroin,0.49,"[0.0, 190.84417724609375, 477.3209533691406, 475.16314697265625]",
dataset\train\images\heroin_13_jpg.rf.43f0ef8415f8513478ec22b7e3601121.jpg,Heroin,0.76,"[71.39888000488281, 126.06065368652344, 479.8140563964844, 505.91650390625]",
dataset\train\images\heroin_13_jpg.rf.43f0ef8415f8513478ec22b7e3601121.jpg,Heroin,0.41,"[15.374364852905273, 92.78837585449219, 151.11087036132812, 308.06622314453125]",
dataset\train\images\heroin_13_jpg.rf.488e28bbdb3137e3971ac986942a3578.jpg,Heroin,0.86,"[184.99220275878906, 2.837109327316284, 512.0, 154.2548370361328]",
dataset\train\images\heroin_13_jpg.rf.488e28bbdb3137e3971ac986942a3578.jpg,Heroin,0.67,"[52.36371994018555, 41.9375114440918, 443.45172119140625, 431.763671875]",
dataset\train\images\heroin_13_jpg.rf.5c64cf8cc6d3a4ed5512432766670add.jpg,Heroin,0.77,"[5.0467529296875, 14.34454345703125, 296.0947570800781, 155.36019897460938]",
dataset\train\images\heroin_13_jpg.rf.5c64cf8cc6d3a4ed5512432766670add.jpg,Heroin,0.70,"[65.512939453125, 21.930614471435547, 469.5951232910156, 429.26861572265625]",
dataset\train\images\heroin_13_jpg.rf.642cc1b022282aec181c0877f06fe392.jpg,Heroin,0.73,"[118.47538757324219, 101.84541320800781, 508.7681579589844, 504.14422607421875]",
dataset\train\images\heroin_13_jpg.rf.642cc1b022282aec181c0877f06fe392.jpg,Heroin,0.51,"[10.643896102905273, 156.4177703857422, 139.2042694091797, 507.64031982421875]",
dataset\train\images\heroin_13_jpg.rf.642cc1b022282aec181c0877f06fe392.jpg,Heroin,0.35,"[283.1678161621094, 366.73150634765625, 511.04437255859375, 509.60418701171875]",
dataset\train\images\heroin_13_jpg.rf.642cc1b022282aec181c0877f06fe392.jpg,Heroin,0.27,"[11.280224800109863, 162.4787139892578, 142.1644287109375, 353.1180725097656]",
dataset\train\images\heroin_13_jpg.rf.642cc1b022282aec181c0877f06fe392.jpg,Heroin,0.25,"[188.77383422851562, 410.22430419921875, 511.6876525878906, 512.0]",
dataset\train\images\heroin_13_jpg.rf.824cdd6f6ba89ef4830d54f1a2995ab2.jpg,Heroin,0.89,"[206.22836303710938, 1.9741332530975342, 488.7203674316406, 142.68161010742188]",
dataset\train\images\heroin_13_jpg.rf.824cdd6f6ba89ef4830d54f1a2995ab2.jpg,Heroin,0.74,"[79.78901672363281, 56.72563552856445, 471.080810546875, 401.9442443847656]",
dataset\train\images\heroin_13_jpg.rf.824cdd6f6ba89ef4830d54f1a2995ab2.jpg,Heroin,0.36,"[0.30314940214157104, 28.040014266967773, 123.7603530883789, 290.78973388671875]",
dataset\train\images\heroin_13_jpg.rf.824cdd6f6ba89ef4830d54f1a2995ab2.jpg,Heroin,0.33,"[1.127771019935608, 16.064966201782227, 124.65422058105469, 393.4433288574219]",
dataset\train\images\heroin_13_jpg.rf.868f3ce9f94095ce32878a42e40f108b.jpg,Heroin,0.81,"[3.3465332984924316, 367.849365234375, 265.99700927734375, 500.2535705566406]",
dataset\train\images\heroin_13_jpg.rf.868f3ce9f94095ce32878a42e40f108b.jpg,Heroin,0.71,"[43.93877029418945, 76.6246566772461, 440.64739990234375, 487.2451171875]",
dataset\train\images\heroin_13_jpg.rf.868f3ce9f94095ce32878a42e40f108b.jpg,Heroin,0.49,"[336.37884521484375, 135.08193969726562, 511.71734619140625, 504.77001953125]",
dataset\train\images\heroin_13_jpg.rf.87a83109f85353787bb713d4c1dd0d8f.jpg,Heroin,0.68,"[75.70157623291016, 82.26319885253906, 392.3833923339844, 481.3037109375]",
dataset\train\images\heroin_13_jpg.rf.87a83109f85353787bb713d4c1dd0d8f.jpg,Heroin,0.46,"[36.661476135253906, 0.11872558295726776, 388.5606994628906, 101.92100524902344]",
dataset\train\images\heroin_13_jpg.rf.87a83109f85353787bb713d4c1dd0d8f.jpg,Heroin,0.39,"[0.0, 175.375, 113.69718933105469, 512.0]",
dataset\train\images\heroin_13_jpg.rf.87a83109f85353787bb713d4c1dd0d8f.jpg,Heroin,0.26,"[0.75714111328125, 335.8094177246094, 148.63815307617188, 512.0]",
dataset\train\images\heroin_13_jpg.rf.9e0c2b01faed3ca72d268b83d144f749.jpg,Heroin,0.91,"[171.16259765625, 2.988574266433716, 486.5072326660156, 145.7938690185547]",
dataset\train\images\heroin_13_jpg.rf.9e0c2b01faed3ca72d268b83d144f749.jpg,Heroin,0.72,"[78.64488220214844, 61.20722579956055, 480.3587341308594, 413.2845153808594]",
dataset\train\images\heroin_13_jpg.rf.9e8314e9ebdf7f40fefb1e847528faed.jpg,Heroin,0.78,"[102.13031005859375, 56.98564529418945, 484.7693786621094, 413.44598388671875]",
dataset\train\images\heroin_13_jpg.rf.9e8314e9ebdf7f40fefb1e847528faed.jpg,Heroin,0.71,"[0.88397216796875, 156.10824584960938, 132.16676330566406, 502.25299072265625]",
dataset\train\images\heroin_13_jpg.rf.9e8314e9ebdf7f40fefb1e847528faed.jpg,Heroin,0.52,"[257.23992919921875, 284.27362060546875, 492.0689392089844, 489.95721435546875]",
dataset\train\images\heroin_13_jpg.rf.9e8314e9ebdf7f40fefb1e847528faed.jpg,Heroin,0.35,"[251.0719757080078, 356.15582275390625, 490.74951171875, 493.57440185546875]",
dataset\train\images\heroin_13_jpg.rf.c94d02998c20a4b40775e376bae364d7.jpg,Heroin,0.80,"[5.149267673492432, 1.092382788658142, 261.3824157714844, 157.0128631591797]",
dataset\train\images\heroin_13_jpg.rf.c94d02998c20a4b40775e376bae364d7.jpg,Heroin,0.75,"[18.777002334594727, 53.78789138793945, 415.30316162109375, 432.03668212890625]",
dataset\train\images\heroin_13_jpg.rf.c94d02998c20a4b40775e376bae364d7.jpg,Heroin,0.62,"[374.3542175292969, 2.2951903343200684, 495.74267578125, 215.3979034423828]",
dataset\train\images\heroin_13_jpg.rf.c94d02998c20a4b40775e376bae364d7.jpg,Heroin,0.54,"[366.53924560546875, 4.210253715515137, 497.42205810546875, 355.316162109375]",
dataset\train\images\heroin_13_jpg.rf.c94d02998c20a4b40775e376bae364d7.jpg,Heroin,0.29,"[1.4740722179412842, 6.063549995422363, 249.12509155273438, 207.3893280029297]",
dataset\train\images\heroin_14_jpg.rf.9bbef3e17093463daab2275e060bdb4a.jpg,Heroin,0.62,"[143.26138305664062, 48.586753845214844, 343.28704833984375, 187.60337829589844]",
dataset\train\images\heroin_14_jpg.rf.9bbef3e17093463daab2275e060bdb4a.jpg,Heroin,0.28,"[240.1315460205078, 269.7012634277344, 410.44854736328125, 387.02783203125]",
dataset\train\images\heroin_14_jpg.rf.9bbef3e17093463daab2275e060bdb4a.jpg,Mdma,0.26,"[200.369140625, 3.4532837867736816, 510.91510009765625, 119.81745910644531]",
dataset\train\images\heroin_1_jpg.rf.58c1828c6042776d81db59b1e21c7e9a.jpg,Heroin,0.61,"[251.8601531982422, 264.6100158691406, 512.0, 509.9620666503906]",
dataset\train\images\heroin_1_jpg.rf.58c1828c6042776d81db59b1e21c7e9a.jpg,Heroin,0.47,"[342.41156005859375, 0.0, 510.861083984375, 111.333740234375]",
dataset\train\images\heroin_2_jpg.rf.054a66db3f2e8483aafb6e26dbda648e.jpg,Heroin,0.80,"[244.17935180664062, 0.0, 509.38214111328125, 260.900146484375]",
dataset\train\images\heroin_2_jpg.rf.054a66db3f2e8483aafb6e26dbda648e.jpg,Ketamine,0.30,"[290.9302673339844, 275.19415283203125, 512.0, 497.0663146972656]",
